"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","UKR",6.658544,2.726903,12.088134,6.155294
"COVID-19","routine","UKR",0.496008,-0.886802,1.72446,0.460586
"HPV","campaign","UKR",189.579935,155.247894,224.603439,190.026152
"HPV","routine","UKR",190.341056,156.196786,224.410147,190.194286
"HepB","routine","UKR",70.657755,57.84719,85.234986,70.512079
"Hib","routine","UKR",17.0836,9.11443,25.25711,17.276904
"Measles","campaign","UKR",27.148213,4.813658,49.298812,27.235649
"Measles","routine","UKR",203.708219,163.712663,242.685765,203.052454
"PCV","routine","UKR",7.730188,-42.596362,57.1007,8.015964
"Rota","routine","UKR",1.100065,-13.982932,15.472551,0.210432
"Rubella","campaign","UKR",7.016946,-5.178436,35.970432,3.567605
"Rubella","routine","UKR",15.985448,2.130823,31.230862,15.444755
