"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","UKR",0.315776,0.124555,0.662176,0.293499
"COVID-19","routine","UKR",0.02444,-0.046328,0.096788,0.024979
"HPV","campaign","UKR",3.948674,3.449895,4.442805,3.950341
"HPV","routine","UKR",3.861255,3.389168,4.349439,3.861444
"HepB","routine","UKR",2.400171,1.941468,2.924567,2.386516
"Hib","routine","UKR",0.19544,0.082214,0.309916,0.198574
"Measles","campaign","UKR",0.200273,-0.099706,0.499786,0.205176
"Measles","routine","UKR",2.830051,2.30019,3.356885,2.819009
"PCV","routine","UKR",0.080188,-0.630403,0.779539,0.081982
"Rota","routine","UKR",0.006848,-0.209022,0.212784,-0.007561
"Rubella","campaign","UKR",0.094131,-0.068511,0.472033,0.048423
"Rubella","routine","UKR",0.225687,0.058275,0.483425,0.202053
