"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","UZB",2.485927,1.196975,4.523144,2.306183
"COVID-19","routine","UZB",0.743765,0.038662,1.184863,0.739832
"HPV","routine","UZB",377.215515,307.235619,444.981645,378.121118
"HepB","routine","UZB",105.190944,88.752084,121.220453,105.193346
"Hib","routine","UZB",96.865646,58.470681,133.230056,96.56581
"Measles","campaign","UZB",2.08157,0.034779,11.749942,0.414516
"Measles","routine","UZB",188.27501,140.805992,233.337284,188.706573
"PCV","routine","UZB",60.035208,-1.905931,110.280006,60.139368
"Rota","routine","UZB",23.082648,-2.029629,43.760195,23.194181
"Rubella","campaign","UZB",19.266795,0.447184,72.648955,11.633772
"Rubella","routine","UZB",24.4538,2.680645,46.694496,24.635322
"Typhoid","campaign","UZB",4.952998,0.326562,24.516201,2.079407
"Typhoid","routine","UZB",25.335187,0.842354,143.937386,5.95684
