"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","UZB",0.071456,0.018112,0.127355,0.073306
"COVID-19","routine","UZB",0.021312,-0.004538,0.048593,0.021247
"HPV","routine","UZB",7.213835,6.225623,8.23131,7.223287
"HepB","routine","UZB",3.110965,2.508051,3.768625,3.097503
"Hib","routine","UZB",1.320497,0.782239,1.830337,1.316586
"Measles","campaign","UZB",0.024555,-0.005076,0.161496,0.000909
"Measles","routine","UZB",2.677191,2.029345,3.309487,2.684329
"PCV","routine","UZB",0.812233,-0.061571,1.516094,0.814824
"Rota","routine","UZB",0.313612,-0.042505,0.603518,0.315515
"Rubella","campaign","UZB",0.224789,0.006431,1.003546,0.123168
"Rubella","routine","UZB",0.299713,0.04546,0.721334,0.271886
"Typhoid","campaign","UZB",0.111887,0.005645,0.430863,0.069549
"Typhoid","routine","UZB",0.626105,0.006107,3.641416,0.127434
