"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","VEN",4.682596,2.11286,9.639764,4.142738
"COVID-19","routine","VEN",1.713165,0.382416,2.570006,1.777258
"HPV","campaign","VEN",166.429252,148.870594,186.828254,166.155557
"HPV","routine","VEN",1575.776653,1364.678318,1830.779732,1573.22089
"HepB","routine","VEN",27.010317,22.204132,32.85167,26.809548
"Hib","routine","VEN",30.679469,19.4519,44.154336,30.453397
"Measles","campaign","VEN",47.57868,10.712167,71.361336,52.24064
"Measles","routine","VEN",1027.961716,801.803906,1254.324495,1024.915226
"PCV","routine","VEN",12.573108,-143.533802,153.922432,11.216929
"Rota","routine","VEN",24.433762,8.097682,39.619691,24.355445
"Rubella","campaign","VEN",11.697829,-0.36163,41.286091,8.870144
"Rubella","routine","VEN",12.871315,2.107221,30.057974,10.179117
"Typhoid","campaign","VEN",1.331575,0.115977,7.004837,0.822416
"Typhoid","routine","VEN",2.520121,0.140204,18.000279,1.01873
"YF","campaign","VEN",29.737252,8.584384,65.601015,27.026297
"YF","routine","VEN",171.211665,44.067635,403.664126,154.491633
