"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","VEN",3.719902,1.952154,7.139348,3.356132
"HPV","VEN",787.328828,692.238475,901.230525,787.29638
"HepB","VEN",27.010317,22.204132,32.85167,26.809548
"Hib","VEN",30.679469,19.4519,44.154336,30.453397
"Measles","VEN",355.430349,261.184427,434.763861,355.567425
"PCV","VEN",12.573108,-143.533802,153.922432,11.216929
"Rota","VEN",24.433762,8.097682,39.619691,24.355445
"Rubella","VEN",12.177614,1.45402,27.083964,12.147762
"Typhoid","VEN",1.54789,0.135384,7.646033,0.880812
"YF","VEN",126.508933,32.855726,298.049986,114.54991
