"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","VEN",0.146027,0.041644,0.274337,0.136094
"COVID-19","routine","VEN",0.053796,-0.010448,0.107682,0.0555
"HPV","campaign","VEN",6.794024,6.06688,7.638789,6.795882
"HPV","routine","VEN",25.174341,22.190933,28.750486,25.17313
"HepB","routine","VEN",1.05015,0.834355,1.350288,1.032659
"Hib","routine","VEN",0.398219,0.244995,0.581009,0.394572
"Measles","campaign","VEN",0.670391,0.153559,0.985989,0.732179
"Measles","routine","VEN",14.164243,11.243879,17.207037,14.123956
"PCV","routine","VEN",0.155378,-1.974689,2.085089,0.13818
"Rota","routine","VEN",0.350708,0.129722,0.553867,0.349722
"Rubella","campaign","VEN",0.162851,-0.010094,0.625152,0.125749
"Rubella","routine","VEN",0.204714,0.042191,0.551277,0.154866
"Typhoid","campaign","VEN",0.045403,0.001922,0.181181,0.030378
"Typhoid","routine","VEN",0.064482,0.000748,0.508658,0.023617
"YF","campaign","VEN",0.867321,0.258068,1.851001,0.803154
"YF","routine","VEN",3.961101,1.024518,9.331482,3.586566
