"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","VEN",0.116125,0.05113,0.202959,0.10993
"HPV","VEN",14.891624,13.38954,16.639499,14.877628
"HepB","VEN",1.05015,0.834355,1.350288,1.032659
"Hib","VEN",0.398219,0.244995,0.581009,0.394572
"Measles","VEN",4.907617,3.681389,5.964097,4.906643
"PCV","VEN",0.155378,-1.974689,2.085089,0.13818
"Rota","VEN",0.350708,0.129722,0.553867,0.349722
"Rubella","VEN",0.179967,0.025751,0.42973,0.152658
"Typhoid","VEN",0.048875,0.001705,0.238322,0.032257
"YF","VEN",2.983536,0.782385,6.983715,2.699939
