"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","WSM",2.64826,0.539867,6.689528,2.298206
"COVID-19","routine","WSM",0.971406,0.212559,1.604316,1.037492
"HPV","campaign","WSM",230.173315,52.117133,982.650924,157.645916
"HPV","routine","WSM",326.267041,127.77686,1093.818079,254.088127
"HepB","routine","WSM",146.522764,112.399982,184.438816,146.144255
"Hib","routine","WSM",49.894729,27.906197,68.301957,50.589089
"Measles","campaign","WSM",22.610464,12.38269,28.273528,22.963347
"Measles","routine","WSM",268.643223,222.764379,313.604781,268.641045
"PCV","routine","WSM",42.871112,-105.971127,174.894145,49.06564
"Rota","routine","WSM",8.670943,-32.99589,47.689204,7.910692
"Rubella","campaign","WSM",26.962976,-9.998048,71.049621,25.062302
"Rubella","routine","WSM",4.478569,-3e-04,21.187425,0.978826
"Typhoid","campaign","WSM",5.01165,0.664926,15.20355,4.051717
"Typhoid","routine","WSM",4.292336,0.176973,16.980466,2.629666
