"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","XK",0,0,0,0
"COVID-19","routine","XK",0,0,0,0
"HPV","campaign","XK",654.677963,535.888578,773.330038,655.585759
"HPV","routine","XK",5.215529,4.353516,6.137501,5.194039
"HepB","routine","XK",2.221699,1.70834,2.869061,2.185881
"Hib","routine","XK",0.504704,0.362206,0.689923,0.488408
"Measles","campaign","XK",-0.190841,-0.668888,0.595724,-0.235467
"Measles","routine","XK",4.724552,3.742131,5.51676,4.7434
"PCV","routine","XK",0.229032,0.145477,0.322781,0.227245
"Rota","routine","XK",0.002481,0.002146,0.002798,0.002487
"Rubella","campaign","XK",-0.12762,-1.315023,0.911662,-0.107184
"Rubella","routine","XK",0.146562,0.013693,0.358703,0.135238
