"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","YEM",1.193945,-4.054431,7.036685,1.21265
"Cholera","YEM",16.491228,14.353062,19.73382,17.174527
"HPV","YEM",212.156348,183.573919,245.102725,211.537264
"HepB","YEM",81.37401,67.984066,97.750487,81.055696
"Hib","YEM",214.830573,149.550004,281.606801,215.632944
"Measles","YEM",449.509596,354.199722,535.099572,450.109988
"PCV","YEM",150.429091,29.105431,265.90992,152.611692
"Rota","YEM",110.342542,37.497985,175.984078,111.345165
"Rubella","YEM",0.902789,-5.823945,8.878302,0.502792
"Typhoid","YEM",73.426666,4.151017,410.480599,39.995476
