"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","YEM",0.020111,-0.290557,0.488931,0.009166
"COVID-19","routine","YEM",-0.006088,-0.340135,0.375099,-0.018269
"Cholera","campaign","YEM",0.246795,0.203992,0.347946,0.243925
"HPV","campaign","YEM",3.678631,2.964775,4.813553,3.588435
"HPV","routine","YEM",3.492048,2.796862,4.613949,3.405798
"HepB","routine","YEM",3.30061,2.740094,3.959189,3.285901
"Hib","routine","YEM",3.121027,2.152926,4.113186,3.131374
"Measles","campaign","YEM",1.199519,0.534906,1.846638,1.221344
"Measles","routine","YEM",18.474302,15.311874,21.820447,18.402112
"PCV","routine","YEM",2.189158,0.389942,3.921429,2.217888
"Rota","routine","YEM",1.718851,0.630042,2.712097,1.735302
"Rubella","campaign","YEM",-0.026444,-0.198085,0.157332,-0.024851
"Rubella","routine","YEM",0.176873,0.100387,0.268714,0.174971
"Typhoid","campaign","YEM",1.449781,0.093663,4.25861,1.232403
"Typhoid","routine","YEM",3.406595,-3.931585,24.630942,1.314744
