"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","YEM",0.007775,-0.191198,0.210848,0.011668
"Cholera","YEM",0.396403,0.327653,0.558873,0.391793
"HPV","YEM",3.573242,2.859842,4.687834,3.486491
"HepB","YEM",3.30061,2.740094,3.959189,3.285901
"Hib","YEM",3.121027,2.152926,4.113186,3.131374
"Measles","YEM",6.66588,5.259085,7.949421,6.663719
"PCV","YEM",2.189158,0.389942,3.921429,2.217888
"Rota","YEM",1.718851,0.630042,2.712097,1.735302
"Rubella","YEM",0.029427,-0.078783,0.147708,0.028373
"Typhoid","YEM",1.820338,-0.163328,7.854119,1.328768
