"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","ZAF",16.143365,5.400546,42.585182,13.034158
"COVID-19","routine","ZAF",0.634103,-9.038008,8.46927,1.357483
"HPV","campaign","ZAF",527.631898,445.231066,608.138901,528.226253
"HPV","routine","ZAF",356.578626,313.06887,401.956428,356.860604
"HepB","routine","ZAF",158.207228,126.354728,192.460972,158.424212
"Hib","routine","ZAF",78.559697,59.917376,102.964529,77.552976
"Measles","campaign","ZAF",16.160543,7.099105,28.437768,15.450525
"Measles","routine","ZAF",402.517956,308.776392,499.683934,401.255656
"PCV","routine","ZAF",49.982586,13.193597,97.695358,48.834954
"Rota","routine","ZAF",28.093327,13.559933,45.739505,27.340315
"Rubella","campaign","ZAF",-3.70398,-38.147376,32.439651,-3.767594
"Rubella","routine","ZAF",27.358757,9.263964,43.403475,27.717675
"Typhoid","campaign","ZAF",11.840579,1.082237,45.069512,6.809231
"Typhoid","routine","ZAF",30.708007,1.187953,251.394598,9.861939
