"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","ZAF",0.576435,0.184754,1.483878,0.481301
"COVID-19","routine","ZAF",0.045262,-0.402835,0.348217,0.0659
"HPV","campaign","ZAF",12.44599,11.201397,13.719888,12.456572
"HPV","routine","ZAF",9.67068,8.828199,10.526516,9.680767
"HepB","routine","ZAF",6.264798,4.983598,7.713613,6.263973
"Hib","routine","ZAF",1.238884,0.938588,1.631228,1.223345
"Measles","campaign","ZAF",0.263152,0.106203,0.464904,0.253063
"Measles","routine","ZAF",6.36057,4.913726,7.900936,6.332042
"PCV","routine","ZAF",0.741355,0.155733,1.513114,0.723791
"Rota","routine","ZAF",0.449157,0.210902,0.735661,0.436874
"Rubella","campaign","ZAF",-0.063063,-0.925032,0.694513,-0.028007
"Rubella","routine","ZAF",0.411229,0.1228,0.776014,0.39107
"Typhoid","campaign","ZAF",0.307785,0.022953,0.863825,0.235425
"Typhoid","routine","ZAF",0.742115,0.025954,5.639538,0.294808
