"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","ZMB",2.060835,1.054829,3.541572,1.931803
"HPV","ZMB",3497.065693,2954.888047,4020.138071,3484.38426
"HepB","ZMB",154.926848,120.904049,209.0844,150.4472
"Hib","ZMB",176.883893,115.932344,249.929702,173.492372
"Measles","ZMB",265.655124,205.770634,320.542267,266.037871
"PCV","ZMB",111.211171,-10.253536,218.994729,109.799432
"Rota","ZMB",54.929459,14.370141,95.654648,52.450087
"Rubella","ZMB",35.744381,1.439201,84.52684,32.697219
"Typhoid","ZMB",29.396617,3.388602,155.390219,14.391672
"YF","ZMB",32.889382,10.149531,77.183836,30.358675
