"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","ZMB",0.037537,0.004232,0.071264,0.036977
"HPV","ZMB",65.317803,57.160714,73.500971,65.245748
"HepB","ZMB",6.408684,4.973865,8.827905,6.220943
"Hib","ZMB",2.76146,1.768306,3.932895,2.700151
"Measles","ZMB",4.328343,3.313642,5.272403,4.324125
"PCV","ZMB",1.643157,-0.35914,3.389895,1.61566
"Rota","ZMB",0.90147,0.225696,1.596518,0.857483
"Rubella","ZMB",0.436425,-0.03816,1.308666,0.361639
"Typhoid","ZMB",0.717364,0.109137,3.278241,0.438225
"YF","ZMB",0.964696,0.289997,2.25014,0.889188
