"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","ZWE",3.797055,1.010593,7.84792,3.151691
"COVID-19","routine","ZWE",3.447479,3.016455,3.919753,3.419886
"HPV","campaign","ZWE",1500.179093,1304.67441,1747.042886,1502.668097
"HPV","routine","ZWE",1977.974726,1743.346172,2283.916544,1973.75211
"HepB","routine","ZWE",132.877804,105.086515,167.871595,131.12668
"Hib","routine","ZWE",72.914441,54.775911,95.457859,71.841709
"Measles","campaign","ZWE",17.952939,5.464806,31.928783,17.816709
"Measles","routine","ZWE",356.280704,280.880138,432.74912,354.78142
"PCV","routine","ZWE",42.71512,18.277557,70.670194,42.129207
"Rota","routine","ZWE",26.595914,22.499591,30.831642,26.579025
"Rubella","campaign","ZWE",9.724898,-24.11752,90.706417,1.227016
"Rubella","routine","ZWE",11.335293,3.748793,21.601894,10.916172
"Typhoid","campaign","ZWE",16.30045,1.106004,84.749907,8.050933
"Typhoid","routine","ZWE",19.262319,0.939191,130.886171,6.602802
