"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","ZWE",0.100361,0.013233,0.219908,0.08458
"COVID-19","routine","ZWE",0.013318,-0.005069,0.034936,0.010885
"HPV","campaign","ZWE",30.358932,27.073379,34.040185,30.303324
"HPV","routine","ZWE",42.96114,38.715568,47.816631,42.974313
"HepB","routine","ZWE",5.646931,4.39277,7.317371,5.535984
"Hib","routine","ZWE",1.200328,0.904161,1.572198,1.183301
"Measles","campaign","ZWE",0.307227,0.063189,0.562344,0.306265
"Measles","routine","ZWE",6.168733,4.812282,7.559611,6.138919
"PCV","routine","ZWE",0.66187,0.276428,1.107204,0.653083
"Rota","routine","ZWE",0.454288,0.385319,0.529095,0.45457
"Rubella","campaign","ZWE",0.126605,-0.389391,1.397325,0.017108
"Rubella","routine","ZWE",0.163487,0.055517,0.322981,0.155783
"Typhoid","campaign","ZWE",0.375945,0.025494,1.677959,0.235282
"Typhoid","routine","ZWE",0.489279,0.015025,3.291721,0.202284
