"disease","subregion","activity_type","mean_value","lower_95","upper_95","median_value"
"COVID-19","Central and Southern Asia","campaign",0.311975,0.103607,0.601655,0.282516
"COVID-19","Central and Southern Asia","routine",0.017003,-0.06154,0.080581,0.014583
"Cholera","Central and Southern Asia","campaign",0.026059,0.019631,0.034733,0.029838
"HPV","Central and Southern Asia","campaign",10.027588,9.290138,10.79556,10.016701
"HPV","Central and Southern Asia","routine",8.755504,8.125623,9.381067,8.743598
"HepB","Central and Southern Asia","routine",3.502029,2.963372,4.151297,3.484019
"Hib","Central and Southern Asia","routine",1.799945,0.961822,2.638683,1.782074
"JE","Central and Southern Asia","campaign",0.050267,0.014172,0.121036,0.04115
"JE","Central and Southern Asia","routine",0.342345,0.194082,0.561863,0.334849
"Measles","Central and Southern Asia","campaign",0.73757,0.470413,0.931864,0.751436
"Measles","Central and Southern Asia","routine",10.842415,8.987399,12.584585,10.830287
"PCV","Central and Southern Asia","routine",1.171884,-0.572021,2.569135,1.203146
"Rota","Central and Southern Asia","routine",0.490125,-0.120683,1.085014,0.481276
"Rubella","Central and Southern Asia","campaign",0.132488,0.039325,0.285109,0.120018
"Rubella","Central and Southern Asia","routine",0.369551,0.185862,0.591598,0.355646
"Typhoid","Central and Southern Asia","campaign",0.134634,0.035279,0.323636,0.118464
"Typhoid","Central and Southern Asia","routine",0.172024,-0.008994,0.640242,0.13132
