"disease","subregion","mean_value","lower_95","upper_95","median_value"
"COVID-19","Eastern Africa",2.046465,1.471272,2.597365,2.06256
"Cholera","Eastern Africa",11.74946,9.260805,21.283645,11.123407
"HPV","Eastern Africa",891.512253,841.619307,939.776615,893.387655
"HepB","Eastern Africa",159.383964,143.269221,178.015013,158.949082
"Hib","Eastern Africa",199.738958,168.415725,244.851067,197.845516
"Malaria","Eastern Africa",173.753265,119.832659,234.223416,171.911806
"Measles","Eastern Africa",437.629687,357.79091,500.418448,439.340833
"Meningitis","Eastern Africa",46.00846,30.262007,58.969061,45.423651
"PCV","Eastern Africa",124.55827,78.241633,173.958721,124.80634
"Rota","Eastern Africa",51.675806,33.538711,68.874541,51.530896
"Rubella","Eastern Africa",21.753976,9.295197,41.743643,20.540648
"Typhoid","Eastern Africa",47.55702,9.098324,147.083387,35.091605
"YF","Eastern Africa",15.517987,4.689826,34.434623,13.877321
