"disease","subregion","mean_value","lower_95","upper_95","median_value"
"COVID-19","Oceania",1.579596,0.71008,3.143893,1.5619
"HPV","Oceania",368.580844,224.629461,683.357564,345.452333
"HepB","Oceania",144.531461,123.977226,165.669041,144.210871
"Hib","Oceania",143.978532,73.84237,224.241241,143.125015
"JE","Oceania",15.152914,9.834056,22.3995,15.089038
"Measles","Oceania",403.896719,324.854917,471.441028,403.366311
"PCV","Oceania",85.956943,-41.447435,192.763249,88.070804
"Rota","Oceania",53.530147,-87.941942,194.194248,54.052903
"Rubella","Oceania",29.513583,7.788538,56.298906,26.931255
"Typhoid","Oceania",170.43668,15.106349,534.873832,138.345662
