"disease","subregion","mean_value","lower_95","upper_95","median_value"
"COVID-19","Western Africa",2.46605,1.83808,3.363889,2.434177
"Cholera","Western Africa",4.936163,4.137604,6.298404,5.012494
"HPV","Western Africa",522.27742,457.342421,587.122801,520.274486
"HepB","Western Africa",144.956708,126.433432,166.285451,144.503907
"Hib","Western Africa",245.495872,178.296078,334.148868,240.182517
"Malaria","Western Africa",207.479555,156.787986,271.725049,205.480689
"Measles","Western Africa",612.967112,503.15958,698.628476,615.692039
"Meningitis","Western Africa",40.339411,28.692701,52.771923,40.504904
"PCV","Western Africa",160.598066,56.717575,266.468267,157.805764
"Rota","Western Africa",106.750961,20.685376,186.196583,106.992544
"Rubella","Western Africa",33.764627,14.115435,59.085213,31.843712
"Typhoid","Western Africa",52.735544,15.250594,132.262487,45.10745
"YF","Western Africa",95.262648,25.846316,220.099879,83.051534
