"disease","country","Counts","lower_bound","upper_bound"
"PCV","SOM",2,-1865,-1842
"PCV","SOM",1,-1823,-1803
"PCV","SOM",2,-1726,-1707
"PCV","SOM",9,-1707,-1688
"PCV","SOM",1,-1688,-1669
"PCV","SOM",2,-1649,-1630
"PCV","SOM",3,-1630,-1611
"PCV","SOM",1,-1592,-1572
"PCV","SOM",5,-1572,-1553
"PCV","GIN",11,-1502,-1482
"PCV","TCD",2,-1501,-1478
"PCV","GIN",3,-1482,-1464
"PCV","TCD",1,-1478,-1460
"PCV","TCD",3,-1441,-1423
"PCV","TCD",2,-1423,-1404
"PCV","SOM",1,-1418,-1399
"PCV","TCD",1,-1404,-1386
"PCV","SOM",3,-1399,-1380
"PCV","SOM",2,-1380,-1361
"PCV","SOM",10,-1361,-1341
"PCV","GIN",9,-1345,-1328
"PCV","SOM",6,-1341,-1322
"PCV","TCD",3,-1330,-1312
"PCV","GIN",5,-1328,-1311
"PCV","TCD",10,-1312,-1293
"PCV","TCD",4,-1293,-1275
"PCV","SSD",9,-1276,-1258
"PCV","TCD",1,-1275,-1256
"PCV","SOM",1,-1130,-1111
"PCV","SOM",7,-1111,-1091
"PCV","TCD",3,-1108,-1090
"PCV","SOM",5,-1091,-1072
"PCV","TCD",4,-1090,-1071
"PCV","SOM",1,-1072,-1053
"PCV","SSD",3,-1048,-1033
"PCV","SSD",3,-1033,-1018
"PCV","GIN",25,-1020,-1003
"PCV","GIN",2,-1003,-986.3
"PCV","SSD",2,-1003,-988.3
"PCV","SOM",1,-995.1,-975.8
"PCV","SSD",9,-988.3,-973.3
"PCV","SOM",5,-975.8,-956.6
"PCV","SSD",2,-973.3,-958.3
"PCV","TCD",1,-960.1,-941.6
"PCV","SSD",2,-958.3,-943.3
"PCV","SOM",5,-956.6,-937.3
"PCV","SSD",2,-943.3,-928.3
"PCV","TCD",1,-941.6,-923.1
"PCV","SOM",8,-937.3,-918.1
"PCV","SSD",6,-928.3,-913.3
"PCV","SOM",10,-918.1,-898.8
"PCV","SSD",1,-913.3,-898.3
