"disease","country","Counts","lower_bound","upper_bound"
"Rubella","BLZ",1,-4.678,-4.639
"Rota","JOR",1,-4.583,-4.547
"Rubella","TON",1,-4.553,-4.516
"Rubella","DMA",3,-4.311,-4.275
"COVID-19","TCD",17,-4.168,-4.14
"Rubella","GRD",2,-4.152,-4.116
"Rota","BLR",1,-4.066,-4.034
"Rubella","BLZ",1,-4.031,-3.999
"Rubella","LCA",4,-4.012,-3.978
"Rubella","COG",1,-3.817,-3.782
"Rubella","LCA",1,-3.808,-3.78
"Rubella","BLZ",2,-3.711,-3.679
"Rubella","DMA",1,-3.65,-3.621
"Rubella","GRD",1,-3.591,-3.561
"Rubella","GUY",4,-3.564,-3.533
"Rubella","DMA",3,-3.561,-3.531
"Rubella","CUB",2,-3.514,-3.484
"Rubella","LCA",1,-3.469,-3.441
"Rubella","GRD",1,-3.444,-3.415
"Rubella","DMA",2,-3.382,-3.353
"Rubella","DMA",1,-3.353,-3.323
"Typhoid","ALB",2,-3.182,-3.152
"Rubella","CUB",1,-3.16,-3.135
"Rubella","LCA",2,-3.158,-3.13
"Typhoid","ALB",2,-3.079,-3.054
"Rubella","VCT",2,-3.022,-2.994
"Rota","MDA",1,-2.952,-2.929
"Rubella","CMR",1,-2.858,-2.831
"Typhoid","GEO",1,-2.778,-2.759
"Rota","BIH",1,-2.761,-2.737
"Typhoid","ALB",1,-2.735,-2.71
"Typhoid","GEO",2,-2.711,-2.695
"Rubella","DMA",2,-2.698,-2.668
"Typhoid","GEO",2,-2.695,-2.68
"Typhoid","ALB",3,-2.686,-2.661
"Rota","XK",1,-2.649,-2.631
"Rota","CUB",1,-2.626,-2.606
"Rubella","ALB",1,-2.613,-2.587
"Rota","TON",1,-2.61,-2.584
"Typhoid","GEO",4,-2.6,-2.584
"PCV","CIV",1,-2.588,-2.558
"Typhoid","ALB",1,-2.588,-2.563
"Rubella","AZE",1,-2.572,-2.546
"Rota","XK",1,-2.554,-2.539
"Typhoid","ALB",3,-2.538,-2.514
"Typhoid","GEO",9,-2.521,-2.505
"Typhoid","ARM",1,-2.505,-2.484
"Typhoid","GEO",3,-2.505,-2.489
"Rota","XK",1,-2.493,-2.478
"Typhoid","GEO",4,-2.473,-2.457
"Typhoid","ALB",2,-2.465,-2.44
"Rubella","CAF",1,-2.452,-2.424
"Typhoid","GEO",1,-2.441,-2.425
"Typhoid","GEO",1,-2.425,-2.409
"Typhoid","ARM",6,-2.415,-2.398
"Rubella","CUB",1,-2.411,-2.386
"Rubella","VCT",2,-2.405,-2.382
"Typhoid","GEO",1,-2.377,-2.362
"Typhoid","AZE",1,-2.353,-2.332
"Typhoid","GEO",3,-2.346,-2.33
"Typhoid","ALB",1,-2.342,-2.318
"Typhoid","GEO",4,-2.314,-2.298
"Typhoid","GEO",5,-2.298,-2.282
"Rota","IRN",1,-2.291,-2.267
"Typhoid","GEO",4,-2.282,-2.266
"Rubella","TLS",1,-2.281,-2.258
"Typhoid","AZE",1,-2.28,-2.263
"Typhoid","ARM",3,-2.278,-2.26
"Rota","COM",1,-2.254,-2.226
"Rota","XK",1,-2.249,-2.234
"Typhoid","ARM",3,-2.226,-2.209
"Typhoid","ALB",2,-2.219,-2.195
"Typhoid","GEO",3,-2.218,-2.203
"Rubella","KIR",1,-2.213,-2.189
"Rubella","MDV",1,-2.213,-2.191
"Rubella","MRT",1,-2.211,-2.186
"Typhoid","ARM",1,-2.209,-2.192
"Typhoid","ALB",1,-2.195,-2.17
"Typhoid","ARM",2,-2.192,-2.174
"Typhoid","GEO",1,-2.187,-2.171
"Rota","XK",1,-2.172,-2.157
"Typhoid","GEO",2,-2.171,-2.155
"Typhoid","ALB",2,-2.17,-2.146
"Rota","BLZ",1,-2.169,-2.148
"Rubella","PAK",1,-2.169,-2.147
"Typhoid","ARM",2,-2.157,-2.14
"Typhoid","GEO",3,-2.155,-2.139
"PCV","IRQ",1,-2.147,-2.121
"Typhoid","ALB",2,-2.146,-2.121
"Rubella","HTI",2,-2.145,-2.126
"Rubella","BDI",1,-2.144,-2.119
"Rota","XK",1,-2.142,-2.127
"Typhoid","ARM",2,-2.14,-2.123
"Typhoid","GEO",10,-2.139,-2.123
"Rota","CUB",1,-2.133,-2.116
"Rota","XK",1,-2.127,-2.111
"Typhoid","ARM",1,-2.123,-2.106
"Typhoid","GEO",2,-2.123,-2.107
"Rota","SRB",1,-2.107,-2.088
"Typhoid","ARM",1,-2.106,-2.088
"Typhoid","ALB",1,-2.097,-2.072
"Rota","XK",1,-2.096,-2.081
"Typhoid","GEO",6,-2.091,-2.075
"Rota","STP",1,-2.079,-2.056
"PCV","LKA",1,-2.075,-2.052
"Typhoid","GEO",4,-2.075,-2.059
"Rota","XK",1,-2.066,-2.05
"Rota","ARM",1,-2.062,-2.041
"Typhoid","GEO",4,-2.059,-2.044
"Rubella","TUN",1,-2.053,-2.036
"Typhoid","ALB",1,-2.047,-2.023
"Typhoid","AZE",1,-2.038,-2.021
"Typhoid","ARM",1,-2.037,-2.02
"Typhoid","GEO",1,-2.028,-2.012
"Typhoid","ALB",1,-2.023,-1.998
"Rota","CHN",1,-2.02,-1.996
"Typhoid","ARM",3,-2.02,-2.002
"Typhoid","GEO",8,-2.012,-1.996
"Typhoid","ALB",5,-1.998,-1.974
"Hib","SRB",1,-1.997,-1.974
"Rota","ALB",2,-1.996,-1.976
"Typhoid","GEO",6,-1.996,-1.98
"Rubella","GEO",1,-1.994,-1.972
"Rota","TON",1,-1.99,-1.969
"Rota","GHA",1,-1.989,-1.965
"Typhoid","ARM",3,-1.985,-1.968
"Rota","XK",1,-1.974,-1.959
"Typhoid","ARM",3,-1.968,-1.951
"Rubella","HTI",1,-1.964,-1.947
"Rubella","SYR",1,-1.958,-1.937
"Typhoid","ARM",3,-1.951,-1.934
"Typhoid","GEO",9,-1.948,-1.932
"Rota","SRB",1,-1.944,-1.929
"Rubella","COG",1,-1.938,-1.909
"Typhoid","AZE",1,-1.934,-1.917
"Typhoid","GEO",1,-1.932,-1.916
"Rota","BLR",1,-1.929,-1.903
"Typhoid","ALB",2,-1.925,-1.9
"Rubella","DMA",3,-1.924,-1.895
"Rota","IRQ",1,-1.922,-1.9
"Rota","MNG",1,-1.92,-1.897
"Typhoid","AZE",1,-1.917,-1.899
"Typhoid","ARM",3,-1.916,-1.899
"Typhoid","GEO",2,-1.916,-1.901
"Rubella","GIN",1,-1.91,-1.886
"Rota","TUN",1,-1.908,-1.887
"Typhoid","GEO",7,-1.901,-1.885
"Typhoid","ALB",1,-1.9,-1.876
"Typhoid","ARM",3,-1.899,-1.882
"Rota","XK",1,-1.898,-1.882
"Rota","SRB",1,-1.897,-1.881
