"disease","Counts","lower_bound","upper_bound"
"Typhoid",2,-0.02969,-0.01412
"Typhoid",2,0.05078,0.06376
"Typhoid",3,0.06376,0.07674
"JE",2,0.07642,0.07854
"COVID-19",28,0.08069,0.08139
"JE",1,0.08385,0.08561
"JE",2,0.08561,0.08738
"COVID-19",7,0.08662,0.0872
"JE",2,0.08738,0.08915
"COVID-19",19,0.08778,0.08836
"COVID-19",18,0.08894,0.08952
"JE",3,0.08915,0.09092
"JE",4,0.09092,0.09269
"JE",2,0.09269,0.09446
"JE",5,0.09446,0.09622
"JE",4,0.09622,0.09799
"JE",4,0.09799,0.09976
"COVID-19",24,0.09882,0.0994
"Rubella",1,0.0995,0.1016
"JE",5,0.09976,0.1015
"JE",5,0.1015,0.1033
"COVID-19",19,0.1023,0.1029
"JE",5,0.1033,0.1051
"COVID-19",24,0.104,0.1046
"COVID-19",46,0.1046,0.1052
"Rubella",1,0.105,0.1067
"JE",7,0.1051,0.1068
"COVID-19",10,0.1052,0.1058
"COVID-19",16,0.1064,0.107
"JE",12,0.1068,0.1086
"COVID-19",55,0.1075,0.1081
"COVID-19",17,0.1081,0.1087
"Rubella",4,0.1085,0.1102
"JE",4,0.1086,0.1104
"COVID-19",38,0.1099,0.1104
"Rubella",3,0.1102,0.1119
"JE",5,0.1104,0.1121
"COVID-19",28,0.111,0.1116
"Rubella",1,0.1119,0.1136
"JE",11,0.1121,0.1139
"COVID-19",54,0.1122,0.1128
"Rubella",3,0.1136,0.1154
"JE",10,0.1139,0.1157
"COVID-19",43,0.1145,0.1151
"Rubella",2,0.1154,0.1171
"COVID-19",17,0.1157,0.1163
"JE",14,0.1157,0.1174
"Rubella",4,0.1171,0.1188
"COVID-19",28,0.1174,0.118
"JE",11,0.1174,0.1192
"COVID-19",23,0.118,0.1186
"COVID-19",19,0.1186,0.1192
"Rubella",3,0.1188,0.1205
"COVID-19",17,0.1192,0.1197
"JE",10,0.1192,0.121
"COVID-19",18,0.1203,0.1209
"Rubella",2,0.1205,0.1223
"JE",10,0.121,0.1227
"COVID-19",20,0.1215,0.1221
"Rubella",6,0.1223,0.124
"JE",11,0.1227,0.1245
"COVID-19",25,0.1238,0.1244
"Rubella",6,0.124,0.1257
"COVID-19",23,0.1244,0.125
"JE",13,0.1245,0.1263
"COVID-19",23,0.125,0.1255
"Rubella",8,0.1257,0.1274
"COVID-19",22,0.1261,0.1267
"JE",11,0.1263,0.1281
"Rubella",9,0.1274,0.1292
"Cholera",84,0.1275,0.1357
"COVID-19",23,0.1279,0.1285
