"disease","activity_type","country","Counts","lower_bound","upper_bound"
"Rubella","campaign","VCT",3,-132.5,-131
"Rubella","campaign","VCT",1,-131,-129.6
"Rubella","campaign","VCT",3,-99.41,-98.09
"Rubella","campaign","VCT",3,-98.09,-96.78
"Rubella","campaign","VCT",3,-95.47,-94.15
"Rubella","campaign","VCT",6,-94.15,-92.84
"Rubella","campaign","VCT",9,-81,-79.69
"Rubella","campaign","VCT",2,-79.69,-78.37
"Rubella","campaign","VCT",1,-67.86,-66.54
"Rubella","campaign","VCT",3,-66.54,-65.23
"Rubella","campaign","VCT",4,-65.23,-63.91
"Rubella","campaign","VCT",1,-63.91,-62.6
"Rubella","campaign","VCT",3,-61.28,-59.97
"Rubella","campaign","GUY",4,-53.89,-53.38
"Rubella","campaign","GUY",1,-53.38,-52.96
"Rubella","campaign","VCT",1,-49.45,-48.13
"Rubella","campaign","VCT",9,-48.13,-46.82
"Rubella","campaign","VCT",2,-46.82,-45.51
"Rubella","campaign","VCT",5,-45.51,-44.19
"Rubella","campaign","VCT",5,-44.19,-42.88
"Rubella","campaign","VCT",1,-42.88,-41.56
"Rubella","campaign","VCT",10,-40.25,-38.93
"Rubella","campaign","VCT",1,-38.93,-37.62
"Rubella","campaign","VCT",5,-37.62,-36.3
"Rubella","campaign","VCT",4,-36.3,-34.99
"Rubella","campaign","GUY",1,-36.08,-35.66
"Rubella","campaign","VCT",2,-34.99,-33.67
"Rubella","campaign","VCT",5,-32.36,-31.04
"PCV","routine","SOM",2,-32.2,-31.8
"PCV","routine","SOM",1,-31.47,-31.14
"Rubella","campaign","VCT",11,-31.04,-29.73
"PCV","routine","SOM",1,-29.83,-29.5
"Rubella","campaign","VCT",4,-29.73,-28.41
"PCV","routine","SOM",5,-29.5,-29.17
"PCV","routine","SOM",6,-29.17,-28.84
"PCV","routine","SOM",4,-28.51,-28.18
"Rubella","campaign","VCT",11,-28.41,-27.1
"PCV","routine","SOM",1,-28.18,-27.85
"PCV","routine","SOM",1,-27.52,-27.19
"PCV","routine","TCD",2,-27.28,-26.88
"PCV","routine","SOM",5,-27.19,-26.87
"Rubella","campaign","VCT",7,-27.1,-25.78
"PCV","routine","TCD",1,-26.88,-26.55
