"disease","subregion","Counts","lower_bound","upper_bound"
"Rota","Oceania",1,-3.086,-3.043
"Rota","Oceania",3,-3.043,-3.008
"Rota","Oceania",2,-3.008,-2.972
"Rota","Oceania",1,-2.972,-2.936
"Rota","Oceania",2,-2.936,-2.9
"Rota","Oceania",1,-2.9,-2.864
"Rota","Oceania",1,-2.864,-2.828
"Rota","Oceania",1,-2.363,-2.327
"Rota","Oceania",1,-2.255,-2.219
"Rota","Oceania",3,-2.219,-2.184
"Rota","Oceania",1,-1.754,-1.718
"Rota","Oceania",1,-1.718,-1.682
"Rota","Oceania",1,-1.539,-1.503
"Rota","Oceania",1,-1.395,-1.359
"Rota","Oceania",1,-1.359,-1.324
"Rota","Oceania",3,-1.324,-1.288
"Rota","Oceania",1,-1.216,-1.18
"PCV","Central and Southern Asia",1,-1.154,-1.127
"PCV","Central and Southern Asia",1,-1.127,-1.105
"Rota","Oceania",2,-1.109,-1.073
"PCV","Oceania",1,-1.083,-1.056
"PCV","Central and Southern Asia",2,-1.061,-1.039
"PCV","Central and Southern Asia",1,-1.039,-1.017
"Rota","Oceania",1,-1.037,-1.001
"PCV","Oceania",1,-1.032,-1.009
"PCV","Central and Southern Asia",1,-1.017,-0.995
"PCV","Oceania",1,-1.009,-0.9859
"Rota","Oceania",1,-1.001,-0.9653
"PCV","Central and Southern Asia",1,-0.973,-0.9509
"PCV","Oceania",1,-0.9626,-0.9394
"PCV","Central and Southern Asia",2,-0.9509,-0.9289
"PCV","Oceania",4,-0.9394,-0.9162
"PCV","Central and Southern Asia",2,-0.9289,-0.9069
"PCV","Oceania",2,-0.9162,-0.8929
"Rota","Oceania",1,-0.8937,-0.8578
"PCV","Oceania",1,-0.8929,-0.8697
"PCV","Central and Southern Asia",2,-0.8848,-0.8628
"PCV","Oceania",3,-0.8697,-0.8465
"Rota","Oceania",1,-0.8578,-0.822
"PCV","Oceania",2,-0.8465,-0.8232
"PCV","Central and Southern Asia",1,-0.8408,-0.8187
"PCV","Oceania",4,-0.8232,-0.8
"Rota","Oceania",1,-0.822,-0.7862
"PCV","Oceania",4,-0.8,-0.7768
"PCV","Central and Southern Asia",1,-0.7967,-0.7747
"PCV","Oceania",1,-0.7768,-0.7536
"PCV","Oceania",1,-0.7536,-0.7303
"PCV","Central and Southern Asia",1,-0.7526,-0.7306
"Rota","Oceania",1,-0.7503,-0.7145
"PCV","Oceania",1,-0.7303,-0.7071
"Malaria","Northern Africa and Western Asia",1,-0.7278,-0.6879
