"disease","mean_value","lower_95","upper_95","median_value"
"COVID-19",4.02976,2.857439,6.191014,3.826351
"Cholera",6.134159,4.812804,12.614558,5.585184
"HPV",523.038308,499.917208,547.109746,522.975018
"HepB",141.944637,127.281727,157.712453,141.59692
"Hib",150.369271,124.739573,176.120788,149.937626
"JE",80.565369,55.547947,106.797164,79.598469
"Malaria",203.043566,156.98978,259.972146,200.789008
"Measles",411.014348,331.629091,476.142722,412.382066
"Meningitis",42.778669,31.902995,54.909506,42.688106
"PCV",104.914925,61.466399,142.92682,107.081994
"Rota",46.074625,25.78082,61.782969,46.034862
"Rubella",16.779029,11.907416,23.511459,16.61537
"Typhoid",26.574544,7.962173,70.685139,21.625615
"YF",72.263012,20.064013,165.634979,64.132734
