"disease","activity_type","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign","AFG",2.522724,-0.359624,5.676435,2.45681
"COVID-19","campaign","AGO",4.552961,1.715323,8.406993,4.248658
"COVID-19","campaign","ALB",22.608446,10.866172,42.468449,21.961686
"COVID-19","campaign","ARM",4.278405,0.059599,9.403765,4.692203
"COVID-19","campaign","AZE",15.034808,6.712676,32.98164,13.418929
"COVID-19","campaign","BDI",142.685942,-636.369635,759.877465,195.399945
"COVID-19","campaign","BEN",1.524319,0.206775,3.235296,1.423368
"COVID-19","campaign","BFA",2.145269,-1.28432,5.74427,1.862352
"COVID-19","campaign","BGD",4.702958,2.444198,7.930308,4.364129
"COVID-19","campaign","BIH",39.873998,24.873534,58.548837,38.548364
"COVID-19","campaign","BLR",18.631842,10.046451,30.664631,18.039717
"COVID-19","campaign","BLZ",7.114115,3.175256,12.809388,6.873088
"COVID-19","campaign","BOL",5.321258,2.197228,11.81891,4.70409
"COVID-19","campaign","BTN",16.379611,6.922556,27.914402,15.434002
"COVID-19","campaign","CAF",2.053175,-0.635417,4.504943,2.081836
"COVID-19","campaign","CHN",0,0,0,0
"COVID-19","campaign","CIV",2.453669,0.496371,5.265746,2.289409
"COVID-19","campaign","CMR",1.585272,0.132004,4.225219,1.429474
"COVID-19","campaign","COD",0.148989,-6.429874,5.606182,0.289246
"COVID-19","campaign","COG",2.163363,0.175775,4.371251,2.078905
"COVID-19","campaign","COL",13.92828,3.975996,29.201419,11.733054
"COVID-19","campaign","COM",3.109788,1.198666,6.654161,2.735016
"COVID-19","campaign","CPV",5.350202,2.116562,13.055833,4.295539
"COVID-19","campaign","CUB",21.563427,7.944527,45.704496,19.328025
"COVID-19","campaign","DJI",1.619851,-0.107624,3.189331,1.521166
"COVID-19","campaign","DMA",0,0,0,0
"COVID-19","campaign","DZA",2.867,0.933172,5.669624,2.503767
"COVID-19","campaign","ECU",15.558421,4.026067,35.518374,12.888525
"COVID-19","campaign","EGY",4.397429,1.791757,7.637789,4.389282
"COVID-19","campaign","ETH",2.277136,0.065039,5.881492,2.169905
"COVID-19","campaign","FJI",4.870689,1.634431,10.843678,4.359459
"COVID-19","campaign","FSM",-0.18036,-1.337381,0.7319,-0.186302
"COVID-19","campaign","GEO",10.749263,5.641167,16.682441,10.478351
"COVID-19","campaign","GHA",2.714432,0.606127,6.083644,2.49453
"COVID-19","campaign","GIN",3.942305,0.98656,8.85301,3.370313
"COVID-19","campaign","GMB",3.670065,0.724591,6.442843,3.60726
"COVID-19","campaign","GNB",2.49736,-1.167411,5.829316,2.867435
"COVID-19","campaign","GRD",5.008597,1.22367,9.463636,4.947501
"COVID-19","campaign","GTM",17.46952,9.557009,29.927559,17.126217
"COVID-19","campaign","GUY",5.950463,2.49782,15.776281,5.694872
"COVID-19","campaign","HND",3.167712,1.460244,5.389521,3.061223
"COVID-19","campaign","HTI",0.834507,-2.529746,4.260007,1.05338
"COVID-19","campaign","IDN",6.580577,2.750114,12.220676,5.204403
"COVID-19","campaign","IND",14.074417,4.581787,33.068619,11.393043
"COVID-19","campaign","IRN",2.927606,0.992407,6.091831,2.715954
"COVID-19","campaign","IRQ",22.619838,6.417929,46.847771,19.698481
"COVID-19","campaign","JAM",14.75631,6.862915,27.210927,14.160226
"COVID-19","campaign","JOR",22.944325,7.627822,49.282706,19.958261
"COVID-19","campaign","KEN",2.523632,0.335655,5.3927,2.129817
"COVID-19","campaign","KGZ",2.727369,0.204414,4.463164,2.751609
"COVID-19","campaign","KHM",9.575236,4.339132,19.083656,8.018974
"COVID-19","campaign","KIR",0.064341,-0.554207,0.907956,0
"COVID-19","campaign","LAO",9.463384,4.421524,17.961272,9.188365
"COVID-19","campaign","LBR",0.823738,-0.430064,2.006922,0.784584
"COVID-19","campaign","LCA",4.346791,2.2729,8.077903,4.244859
"COVID-19","campaign","LKA",9.536884,4.927446,22.555292,7.897395
"COVID-19","campaign","LSO",1.500732,0.688824,3.245505,1.284234
"COVID-19","campaign","MAR",5.639009,2.367236,15.368131,4.670654
"COVID-19","campaign","MDA",2.725312,1.157274,5.074251,2.600168
"COVID-19","campaign","MDG",2.95015,-5.671158,9.52882,3.076383
"COVID-19","campaign","MDV",10.298358,3.304196,22.600341,9.355239
"COVID-19","campaign","MHL",0,0,0,0
"COVID-19","campaign","MKD",24.550309,7.606169,44.282517,25.265316
"COVID-19","campaign","MLI",1.794338,-1.095098,5.136299,1.67174
"COVID-19","campaign","MMR",4.295396,2.088338,8.851106,3.66674
"COVID-19","campaign","MNG",9.383429,3.58181,21.524904,8.441749
"COVID-19","campaign","MOZ",1.522999,-0.829362,5.132305,1.502299
"COVID-19","campaign","MRT",3.015699,1.234878,7.40079,2.529793
"COVID-19","campaign","MWI",2.31064,-1.149006,5.86919,2.327803
"COVID-19","campaign","NAM",12.048135,3.803774,26.040785,11.085339
"COVID-19","campaign","NER",1.857065,-2.348992,5.258973,1.984419
"COVID-19","campaign","NGA",1.899588,0.698184,3.655264,1.672636
"COVID-19","campaign","NIC",2.937405,0.819521,6.084388,2.518465
"COVID-19","campaign","NPL",4.59802,2.006268,9.155131,3.936187
"COVID-19","campaign","PAK",4.536505,1.768282,9.705733,4.348071
"COVID-19","campaign","PER",24.744407,12.107341,58.222192,20.630913
"COVID-19","campaign","PHL",2.887241,1.131396,5.055494,2.758045
"COVID-19","campaign","PNG",1.432187,-1.904682,6.458258,1.282065
"COVID-19","campaign","PRY",12.373007,5.75415,24.79479,10.616517
"COVID-19","campaign","PSE",4.579262,1.395205,8.990368,4.125572
"COVID-19","campaign","RWA",2.838768,0.843756,6.003698,2.612457
"COVID-19","campaign","SDN",2.078643,-2.424996,6.434269,2.042221
"COVID-19","campaign","SEN",3.219145,-1.139814,6.929737,3.275737
"COVID-19","campaign","SLB",2.434871,1.014338,4.435838,2.169473
"COVID-19","campaign","SLE",1.174415,-0.848058,2.559343,1.18614
