"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","AFG",3.641835,1.961951,5.710227,3.540914
"COVID-19","AGO",2.759142,1.85091,3.88741,2.713076
"COVID-19","ALB",17.328879,8.045773,32.693149,16.602511
"COVID-19","ARM",3.378694,0.746425,6.620914,3.734148
"COVID-19","AZE",6.939575,3.974802,13.928918,6.136165
"COVID-19","BDI",0.167216,-1.052423,1.305082,0.20959
"COVID-19","BEN",2.210049,1.025171,3.604711,2.085104
"COVID-19","BFA",2.885224,1.432684,5.038289,2.805588
"COVID-19","BGD",3.370501,2.22186,5.49792,3.133973
"COVID-19","BIH",33.877073,21.273012,50.150938,32.699899
"COVID-19","BLR",10.200017,5.681162,16.495694,9.752573
"COVID-19","BLZ",5.035772,2.703312,8.862726,4.700401
"COVID-19","BOL",3.751174,1.773306,8.055275,3.300382
"COVID-19","BTN",9.382389,3.960771,15.233565,9.760596
"COVID-19","CAF",2.590508,0.974404,4.220061,2.506767
"COVID-19","CHN",0,0,0,0
"COVID-19","CIV",2.366958,1.266555,4.260838,2.241619
"COVID-19","CMR",2.04558,0.677519,3.457601,2.172349
"COVID-19","COD",2.589318,-1.562571,7.402374,2.227913
"COVID-19","COG",3.48916,2.91567,4.271791,3.470543
"COVID-19","COL",9.960183,3.010974,20.632172,8.201565
"COVID-19","COM",2.904748,1.589201,5.466389,2.467226
"COVID-19","CPV",4.082535,2.192913,8.987005,3.501658
"COVID-19","CUB",9.752959,3.965936,18.590601,9.124999
"COVID-19","DJI",2.765644,2.271075,3.577168,2.764477
"COVID-19","DMA",0,0,0,0
"COVID-19","DZA",3.349391,2.641889,4.384961,3.319786
"COVID-19","ECU",10.35948,2.763805,23.970649,8.751267
"COVID-19","EGY",3.69001,2.703108,5.072686,3.697624
"COVID-19","ERI",NA,NA,NA,NA
"COVID-19","ETH",2.148911,0.351855,4.903228,1.966354
"COVID-19","FJI",3.341769,1.673608,7.383911,2.891311
"COVID-19","FSM",1.158627,0.410585,1.698844,1.088616
"COVID-19","GEO",7.490213,4.100422,12.016453,7.325614
"COVID-19","GHA",2.436429,1.085889,4.628884,2.302859
"COVID-19","GIN",3.077804,1.196538,7.15832,2.803601
"COVID-19","GMB",2.507731,-0.104878,5.394273,2.464641
"COVID-19","GNB",3.077356,0.759115,5.568546,3.191124
"COVID-19","GRD",4.034256,2.856316,5.823785,3.988063
"COVID-19","GTM",11.613239,6.747718,18.470899,10.96735
"COVID-19","GUY",4.350669,2.089682,10.755981,4.156621
"COVID-19","HND",2.090435,0.93843,3.328028,2.003183
"COVID-19","HTI",0.354014,-0.082855,0.762891,0.369419
"COVID-19","IDN",4.282192,2.18125,7.681648,3.619342
"COVID-19","IND",11.324735,3.537841,26.030108,9.386753
"COVID-19","IRN",2.185296,0.926809,3.927033,2.129647
"COVID-19","IRQ",21.116961,7.569049,47.019637,18.910092
"COVID-19","JAM",14.026884,6.863786,25.796228,13.847968
"COVID-19","JOR",19.775542,6.695132,45.349282,17.322695
"COVID-19","KEN",1.733101,0.382796,3.675854,1.57294
