"disease","subregion","mean_value","lower_95","upper_95","median_value"
"COVID-19","Middle Africa",2.495183,1.258753,3.961586,2.461767
"COVID-19","Northern Africa and Western Asia",4.076488,3.318185,5.018896,4.04893
"COVID-19","Eastern Africa",2.025311,1.503765,2.717152,1.997747
"COVID-19","Western Africa",2.45434,1.810862,3.21009,2.426685
"COVID-19","Southern Africa",11.614175,2.501007,29.487123,9.797985
"COVID-19","Central and Southern Asia",7.063416,3.368677,13.785105,6.256619
"COVID-19","Eastern and South-Eastern Asia",2.074106,1.408948,2.982076,2.040166
"COVID-19","Eastern and Southern Europe",7.355644,5.487858,10.406004,7.21298
"COVID-19","Latin America and the Caribbean",7.483964,5.282922,10.3639,7.372675
"COVID-19","Oceania",1.585884,0.71318,2.739899,1.510286
"Cholera","Middle Africa",5.868326,0.392376,12.006406,8.118016
"Cholera","Northern Africa and Western Asia",17.33045,0.019935,34.441656,28.680035
"Cholera","Eastern Africa",11.90929,0.108855,22.967429,17.643201
"Cholera","Western Africa",4.796674,0.004647,10.592622,2.593584
"Cholera","Central and Southern Asia",1.668983,0.000509,4.139118,0.784132
"Cholera","Latin America and the Caribbean",10.672666,0.0277,93.102797,5.878454
"HPV","Middle Africa",556.325042,276.359696,888.49011,531.884112
"HPV","Northern Africa and Western Asia",441.996089,122.330221,763.932385,445.42282
"HPV","Eastern Africa",896.012873,604.20995,1185.295411,894.121271
"HPV","Western Africa",528.992262,259.437258,861.418348,581.645092
"HPV","Southern Africa",501.79586,380.719515,641.882722,497.596129
"HPV","Central and Southern Asia",450.469816,239.628222,709.087474,415.240435
"HPV","Eastern and South-Eastern Asia",423.435045,214.623402,675.667991,445.175415
"HPV","Eastern and Southern Europe",388.163106,184.223942,600.775438,383.164397
"HPV","Latin America and the Caribbean",632.613184,370.5434,874.813145,633.156746
"HPV","Oceania",384.941897,212.140338,913.433131,303.088121
"HepB","Middle Africa",137.185509,53.9965,228.318837,129.445857
"HepB","Northern Africa and Western Asia",108.753514,63.017511,159.113264,108.410687
"HepB","Eastern Africa",160.212084,104.139534,226.210489,158.345775
"HepB","Western Africa",144.503699,105.439719,192.43187,143.263832
"HepB","Southern Africa",150.14389,48.371944,295.37255,129.158731
"HepB","Central and Southern Asia",109.036512,68.338886,154.504074,106.697635
"HepB","Eastern and South-Eastern Asia",192.313494,85.562333,378.821681,140.983435
"HepB","Eastern and Southern Europe",70.657054,38.357379,114.959608,68.169311
"HepB","Latin America and the Caribbean",31.493148,21.614674,43.252847,31.051753
"HepB","Oceania",143.251192,73.671735,250.917342,123.303083
"Hib","Middle Africa",363.255331,200.784006,604.130579,348.56714
"Hib","Northern Africa and Western Asia",107.954383,58.585683,168.969794,105.220082
"Hib","Eastern Africa",201.085031,119.6622,309.318341,194.705676
"Hib","Western Africa",245.67276,144.717959,412.523935,235.179425
"Hib","Southern Africa",78.881215,41.669968,112.505494,80.956103
"Hib","Central and Southern Asia",130.579685,68.586311,261.781899,111.299135
"Hib","Eastern and South-Eastern Asia",73.359045,29.848724,148.860193,66.672359
"Hib","Eastern and Southern Europe",18.029632,9.099725,31.198452,16.205614
"Hib","Latin America and the Caribbean",68.535543,42.613829,96.429534,68.029731
"Hib","Oceania",145.36348,40.087721,311.986005,134.488057
"JE","Central and Southern Asia",51.787111,11.261269,103.149633,53.697294
"JE","Eastern and South-Eastern Asia",106.769588,11.05836,251.083263,43.507655
"JE","Oceania",15.465737,0.5814,33.267186,17.08046
"Malaria","Middle Africa",247.206733,145.203829,382.717654,241.655902
"Malaria","Northern Africa and Western Asia",104.967544,-0.00062,342.426475,95.356429
"Malaria","Eastern Africa",174.006243,116.44332,241.577869,172.962879
"Malaria","Western Africa",208.807937,157.61159,284.501664,205.003637
"Measles","Middle Africa",593.99158,457.314332,751.804117,592.511161
"Measles","Northern Africa and Western Asia",314.344425,190.255292,430.349727,314.017601
"Measles","Eastern Africa",438.247466,328.29687,557.401346,435.591599
"Measles","Western Africa",613.41036,455.028379,782.437637,610.019704
"Measles","Southern Africa",190.570244,81.353084,363.64306,106.309585
"Measles","Central and Southern Asia",454.522402,325.35568,621.712625,448.041148
"Measles","Eastern and South-Eastern Asia",258.572522,131.670981,422.752259,224.046182
"Measles","Eastern and Southern Europe",186.850674,103.582664,282.92792,183.946832
"Measles","Latin America and the Caribbean",338.665817,199.13829,476.595011,337.059798
"Measles","Oceania",406.338719,216.02109,662.31617,423.485249
"Meningitis","Middle Africa",41.807124,31.162604,52.219813,41.784235
"Meningitis","Northern Africa and Western Asia",49.265857,34.114423,66.443034,49.581131
