"disease","subregion","activity_type","mean_value","lower_95","upper_95","median_value"
"COVID-19","Middle Africa","campaign",1.858359,-0.81653,3.999334,1.914524
"COVID-19","Middle Africa","routine",3.020505,1.150926,4.793057,3.18015
"COVID-19","Northern Africa and Western Asia","campaign",5.529424,3.742948,7.559787,5.523919
"COVID-19","Northern Africa and Western Asia","routine",2.945882,2.499177,3.347413,2.952664
"COVID-19","Eastern Africa","campaign",2.070402,1.248989,3.120343,2.037559
"COVID-19","Eastern Africa","routine",1.984295,0.507504,3.533449,1.998542
"COVID-19","Western Africa","campaign",2.091022,1.247147,3.145132,2.041582
"COVID-19","Western Africa","routine",3.405706,2.208486,4.549506,3.417487
"COVID-19","Southern Africa","campaign",13.905538,4.896962,36.534253,11.313447
"COVID-19","Southern Africa","routine",1.082177,-5.791082,6.571485,1.453646
"COVID-19","Central and Southern Asia","campaign",9.507315,4.295099,19.476016,8.38568
"COVID-19","Central and Southern Asia","routine",0.95759,-0.422073,2.476733,0.961871
"COVID-19","Eastern and South-Eastern Asia","campaign",3.089508,2.055285,4.506354,3.02766
"COVID-19","Eastern and South-Eastern Asia","routine",0.432462,0.244967,0.599305,0.43739
"COVID-19","Eastern and Southern Europe","campaign",10.858158,7.816316,14.946376,10.712572
"COVID-19","Eastern and Southern Europe","routine",0.421536,-0.511821,1.136538,0.41684
"COVID-19","Latin America and the Caribbean","campaign",12.248569,8.101413,17.331777,11.997279
"COVID-19","Latin America and the Caribbean","routine",0.794013,0.38619,1.198635,0.792868
"COVID-19","Oceania","campaign",2.340408,0.590218,4.400494,2.282788
"COVID-19","Oceania","routine",0.804297,-0.883748,2.229432,0.709683
"Cholera","Middle Africa","campaign",3.772684,0.743268,6.63887,3.624514
"Cholera","Northern Africa and Western Asia","campaign",10.830486,0.066973,21.406466,10.701853
"Cholera","Eastern Africa","campaign",7.576152,0.516027,14.051597,7.224832
"Cholera","Western Africa","campaign",3.127951,0.063396,6.127316,3.144846
"Cholera","Central and Southern Asia","campaign",1.060157,0.002285,2.273126,1.011978
"Cholera","Latin America and the Caribbean","campaign",6.635396,0.155187,50.053054,3.242691
"HPV","Middle Africa","campaign",511.34181,242.788798,865.877441,480.427576
"HPV","Middle Africa","routine",584.651401,305.421208,917.058189,576.949139
"HPV","Northern Africa and Western Asia","campaign",451.367838,111.253448,793.232853,454.127149
