"disease","mean_value","lower_95","upper_95","median_value"
"COVID-19",0.123529,0.08092,0.185474,0.118698
"Cholera",0.204111,0.056459,0.533479,0.18349
"HPV",11.204829,9.840056,12.569894,11.193834
"HepB",5.010461,3.536397,7.096351,4.601285
"Hib",2.215303,1.654102,2.984435,2.179024
"JE",0.177571,0.093687,0.305831,0.171813
"Malaria",2.797978,2.256514,3.36933,2.797468
"Measles",6.090888,5.026858,7.322182,6.091235
"Meningitis",0.660558,0.567271,0.755851,0.66193
"PCV",1.523125,0.70307,2.476692,1.47755
"Rota",0.796474,0.185895,1.392224,0.794574
"Rubella",0.21801,0.139655,0.336635,0.209063
"Typhoid",0.704818,0.359686,1.970968,0.608461
"YF",1.867207,0.813281,3.655649,1.745966
