"disease","country","mean_value","lower_95","upper_95","median_value"
"COVID-19","AFG",0.091326,0.030975,0.142294,0.092616
"COVID-19","AGO",0.037375,0.000303,0.073057,0.03619
"COVID-19","ALB",0.699138,0.370869,1.203738,0.662396
"COVID-19","ARM",0.119604,0.001012,0.269219,0.129549
"COVID-19","AZE",0.227094,0.119804,0.470034,0.204937
"COVID-19","BDI",0.005648,-0.045337,0.055552,0.00661
"COVID-19","BEN",0.036139,-0.013183,0.091104,0.032866
"COVID-19","BFA",0.062206,0.014261,0.132424,0.056986
"COVID-19","BGD",0.09949,0.059114,0.17727,0.089139
"COVID-19","BIH",1.752267,1.0939,2.545243,1.695801
"COVID-19","BLR",0.487154,0.262801,0.763309,0.490694
"COVID-19","BLZ",0.146388,0.053031,0.270331,0.144867
"COVID-19","BOL",0.126662,0.050166,0.263392,0.124605
"COVID-19","BTN",0.287572,0.133017,0.4765,0.282225
"COVID-19","CAF",0.059043,0.008592,0.11422,0.05711
"COVID-19","CHN",0,0,0,0
"COVID-19","CIV",0.049352,0.007912,0.193142,0.046525
"COVID-19","CMR",0.030347,-0.02309,0.080225,0.033456
"COVID-19","COD",0.044442,-0.123709,0.20875,0.042926
"COVID-19","COG",0.028085,0.005177,0.057903,0.025692
"COVID-19","COL",0.305722,0.05363,0.598743,0.244615
"COVID-19","COM",0.083496,0.029736,0.15033,0.081773
"COVID-19","CPV",0.10127,-0.00963,0.226732,0.094545
"COVID-19","CUB",0.398553,0.164404,0.781297,0.388672
"COVID-19","DJI",0.011943,0.001898,0.034633,0.006642
"COVID-19","DMA",0,0,0,0
"COVID-19","DZA",0.045431,0.004023,0.101124,0.043832
"COVID-19","ECU",0.321046,0.069631,0.749114,0.276283
"COVID-19","EGY",0.061442,0.026944,0.09573,0.060427
"COVID-19","ERI",NA,NA,NA,NA
"COVID-19","ETH",0.034324,-0.039987,0.130896,0.036684
"COVID-19","FJI",0.130602,0.071342,0.26338,0.118008
"COVID-19","FSM",0,0,0,0
"COVID-19","GEO",0.349909,0.208804,0.502702,0.324301
"COVID-19","GHA",0.053715,0.000601,0.119909,0.04728
"COVID-19","GIN",0.073494,0.013727,0.186667,0.071427
"COVID-19","GMB",0.044,-0.063113,0.163814,0.045014
"COVID-19","GNB",0.0658,-0.034118,0.171725,0.059706
"COVID-19","GRD",0.031355,0,0.084207,0.016841
"COVID-19","GTM",0.306525,0.166743,0.578702,0.293826
"COVID-19","GUY",0.155046,0.068227,0.357686,0.14425
"COVID-19","HND",0.050492,0.011235,0.088918,0.048465
"COVID-19","HTI",0.005132,-0.021095,0.028847,0.004956
"COVID-19","IDN",0.151116,0.074877,0.253248,0.130077
"COVID-19","IND",0.388308,0.102753,0.798121,0.341375
"COVID-19","IRN",0.061042,0.009395,0.118401,0.06617
"COVID-19","IRQ",0.603895,0.121775,1.343787,0.534546
"COVID-19","JAM",0.587978,0.22178,1.035398,0.588035
"COVID-19","JOR",0.552945,0.149985,1.148168,0.486974
"COVID-19","KEN",0.037012,-0.015368,0.102452,0.034276
"COVID-19","KGZ",0.061835,0.010467,0.147989,0.062561
"COVID-19","KHM",0.174353,0.064168,0.341877,0.149584
"COVID-19","KIR",0,0,0,0
"COVID-19","LAO",0.176591,0.081424,0.349321,0.160903
"COVID-19","LBR",0.008442,-0.018827,0.040235,0.006308
"COVID-19","LCA",0.083014,0.046895,0.131893,0.084998
"COVID-19","LKA",0.23359,0.117592,0.507952,0.195262
"COVID-19","LSO",0.037669,0.01533,0.077877,0.030967
"COVID-19","MAR",0.087469,0.035072,0.216962,0.084668
"COVID-19","MDA",0.094068,0.024283,0.169777,0.090453
"COVID-19","MDG",0.026658,-0.128585,0.206085,0.025035
"COVID-19","MDV",0.156749,0.042445,0.330583,0.140396
"COVID-19","MHL",0,0,0,0
"COVID-19","MKD",0.926746,0.350836,1.432521,0.916842
"COVID-19","MLI",0.047062,-0.019546,0.123187,0.050614
"COVID-19","MMR",0.070696,0.034396,0.124745,0.065342
"COVID-19","MNG",0.172265,0.072908,0.373842,0.150409
"COVID-19","MOZ",0.049611,-0.015852,0.106378,0.048139
"COVID-19","MRT",0.03583,0.012405,0.090856,0.032269
"COVID-19","MWI",0.024793,-0.096905,0.115354,0.024723
"COVID-19","NAM",0.264517,-0.169651,0.653558,0.240451
"COVID-19","NER",0.050379,-0.04909,0.122511,0.049612
"COVID-19","NGA",0.049566,0.006121,0.098787,0.045064
"COVID-19","NIC",0.056794,0.003105,0.116958,0.051176
"COVID-19","NPL",0.088177,0.040519,0.18724,0.080582
"COVID-19","PAK",0.088652,0.041924,0.178734,0.083646
"COVID-19","PER",0.466996,0.189718,0.879268,0.429334
"COVID-19","PHL",0.066042,0.027772,0.114849,0.065285
"COVID-19","PNG",0.007284,-0.064698,0.109095,0.006641
"COVID-19","PRK",NA,NA,NA,NA
"COVID-19","PRY",0.2438,0.051346,0.548594,0.204999
"COVID-19","PSE",0.092524,0.000966,0.175337,0.091
"COVID-19","RWA",0.034213,-0.001537,0.086772,0.03017
"COVID-19","SDN",0.068675,-0.004177,0.176143,0.073894
"COVID-19","SEN",0.061418,-0.024126,0.137791,0.061434
"COVID-19","SLB",0.050773,0.007652,0.092922,0.052474
"COVID-19","SLE",0.010198,-0.025175,0.04174,0.010497
"COVID-19","SLV",0.141726,0.069404,0.269214,0.142941
"COVID-19","SOM",0.048227,0.003694,0.108938,0.047104
"COVID-19","SRB",1.437081,0.831288,2.420044,1.381257
"COVID-19","SSD",0.045693,-0.075818,0.148907,0.050659
"COVID-19","STP",0.006317,0,0.058954,0
"COVID-19","SWZ",0.059823,0.023369,0.133205,0.057839
"COVID-19","SYR",-0.004162,-0.134731,0.10808,-0.006914
"COVID-19","TCD",0.008119,-0.066275,0.055973,0.011195
"COVID-19","TGO",0.077219,-0.000835,0.177118,0.074953
"COVID-19","THA",0.601804,0.244184,1.495805,0.534261
"COVID-19","TJK",0.028017,0.009375,0.04929,0.026984
"COVID-19","TKM",0.100605,0.006796,0.177652,0.094018
