"disease","subregion","mean_value","lower_95","upper_95","median_value"
"COVID-19","Middle Africa",0.035898,-0.006182,0.080214,0.03526
"COVID-19","Northern Africa and Western Asia",0.086087,0.060947,0.115515,0.085792
"COVID-19","Eastern Africa",0.036731,0.013832,0.060259,0.036364
"COVID-19","Western Africa",0.04939,0.026655,0.075084,0.048234
"COVID-19","Southern Africa",0.404399,0.057628,1.018236,0.342347
"COVID-19","Central and Southern Asia",0.22424,0.097313,0.419677,0.204875
"COVID-19","Eastern and South-Eastern Asia",0.067859,0.04611,0.09754,0.067162
"COVID-19","Eastern and Southern Europe",0.360034,0.25507,0.524146,0.352371
"COVID-19","Latin America and the Caribbean",0.247935,0.163191,0.354093,0.244327
"COVID-19","Oceania",0.037353,-0.006205,0.086509,0.036839
"Cholera","Middle Africa",0.204506,0.016508,0.519227,0.225754
"Cholera","Northern Africa and Western Asia",0.387358,0,0.78647,0.655703
"Cholera","Eastern Africa",0.404411,0.003174,1.256166,0.522
"Cholera","Western Africa",0.175242,0.000114,0.345485,0.27251
"Cholera","Central and Southern Asia",0.041782,0,0.099769,0.06269
"Cholera","Latin America and the Caribbean",0.450276,0,4.657015,0.14145
"HPV","Middle Africa",14.273362,9.084506,21.724529,13.910549
"HPV","Northern Africa and Western Asia",7.372257,3.733433,10.956068,7.384275
"HPV","Eastern Africa",22.396882,15.779996,29.026027,22.489692
"HPV","Western Africa",11.57996,8.940932,14.505375,11.440526
"HPV","Southern Africa",12.405533,7.276927,17.442294,14.608308
"HPV","Central and Southern Asia",9.398701,7.463468,11.00199,9.480025
"HPV","Eastern and South-Eastern Asia",8.218574,5.895523,11.38722,8.023267
"HPV","Eastern and Southern Europe",6.821805,4.219196,9.507824,6.869662
"HPV","Latin America and the Caribbean",12.902886,11.090755,14.912168,12.873615
"HPV","Oceania",12.78457,3.630969,39.430357,8.928636
"HepB","Middle Africa",5.791232,2.261679,9.108865,5.966454
"HepB","Northern Africa and Western Asia",3.847771,2.281653,5.732474,3.817309
"HepB","Eastern Africa",6.419391,4.570927,8.766357,6.31273
"HepB","Western Africa",6.44947,4.653713,9.677181,6.253643
"HepB","Southern Africa",5.995429,2.11337,11.17748,5.445202
"HepB","Central and Southern Asia",3.518285,2.162661,5.016131,3.427651
"HepB","Eastern and South-Eastern Asia",6.259864,2.864691,12.39083,4.610093
"HepB","Eastern and Southern Europe",2.36997,1.292951,3.711632,2.290774
"HepB","Latin America and the Caribbean",1.092992,0.761814,1.498382,1.075296
"HepB","Oceania",5.824087,3.049329,9.863368,5.175745
"Hib","Middle Africa",5.754271,3.361821,9.819146,5.494502
"Hib","Northern Africa and Western Asia",1.534374,0.836286,2.459518,1.510959
"Hib","Eastern Africa",2.97771,1.863408,4.501626,2.831851
"Hib","Western Africa",3.958524,2.273636,6.778571,3.738121
"Hib","Southern Africa",1.269029,0.617757,1.861007,1.32128
"Hib","Central and Southern Asia",1.763985,0.930016,3.65326,1.494402
"Hib","Eastern and South-Eastern Asia",0.943569,0.398963,1.879723,0.866627
