"disease","subregion","activity_type","mean_value","lower_95","upper_95","median_value"
"COVID-19","Middle Africa","campaign",0.02643,-0.069561,0.103852,0.028178
"COVID-19","Middle Africa","routine",0.046554,-0.02988,0.123452,0.048709
"COVID-19","Northern Africa and Western Asia","campaign",0.165184,0.105871,0.237607,0.163223
"COVID-19","Northern Africa and Western Asia","routine",0.026779,0.008692,0.043746,0.026791
"COVID-19","Eastern Africa","campaign",0.040726,0.005381,0.078056,0.040519
"COVID-19","Eastern Africa","routine",0.024565,-0.025342,0.078123,0.023778
"COVID-19","Western Africa","campaign",0.045882,0.017022,0.084435,0.04418
"COVID-19","Western Africa","routine",0.056348,0.000592,0.11132,0.055789
"COVID-19","Southern Africa","campaign",0.504525,0.168079,1.401155,0.423709
"COVID-19","Southern Africa","routine",0.036961,-0.225684,0.24983,0.048593
"COVID-19","Central and Southern Asia","campaign",0.307062,0.120943,0.608324,0.282969
"COVID-19","Central and Southern Asia","routine",0.01783,-0.057468,0.08565,0.019979
"COVID-19","Eastern and South-Eastern Asia","campaign",0.103083,0.064528,0.151279,0.101443
"COVID-19","Eastern and South-Eastern Asia","routine",0.009266,0.000704,0.016498,0.009453
"COVID-19","Eastern and Southern Europe","campaign",0.531355,0.385436,0.752237,0.518915
"COVID-19","Eastern and Southern Europe","routine",0.019068,-0.026339,0.064419,0.018455
"COVID-19","Latin America and the Caribbean","campaign",0.412883,0.284477,0.584337,0.405858
"COVID-19","Latin America and the Caribbean","routine",0.019227,-0.002635,0.042548,0.019186
"COVID-19","Oceania","campaign",0.074124,-0.005912,0.170341,0.071427
"COVID-19","Oceania","routine",0.001232,-0.062332,0.066609,-0.000204
"Cholera","Middle Africa","campaign",0.124461,0.032918,0.254954,0.118025
"Cholera","Northern Africa and Western Asia","campaign",0.252038,0,0.488578,0.244233
"Cholera","Eastern Africa","campaign",0.248438,0.029883,0.593685,0.233714
"Cholera","Western Africa","campaign",0.106192,0.004846,0.203835,0.10574
"Cholera","Central and Southern Asia","campaign",0.026251,0,0.06109,0.025251
"Cholera","Latin America and the Caribbean","campaign",0.315326,0.009867,2.851518,0.087542
"HPV","Middle Africa","campaign",13.675095,8.116036,20.770107,13.455407
"HPV","Middle Africa","routine",14.739419,9.80063,21.453648,14.485936
"HPV","Northern Africa and Western Asia","campaign",7.350607,3.506605,11.211214,7.398227
"HPV","Northern Africa and Western Asia","routine",7.046316,3.576449,10.571589,7.068878
"HPV","Eastern Africa","campaign",20.943651,14.475711,27.847464,20.921693
"HPV","Eastern Africa","routine",22.59066,15.190954,29.88746,22.739474
"HPV","Western Africa","campaign",10.875946,7.989785,14.519904,10.663534
"HPV","Western Africa","routine",11.983412,9.360399,14.942056,11.904707
"HPV","Southern Africa","campaign",15.704785,11.301186,19.800872,15.851519
"HPV","Southern Africa","routine",11.153467,5.754617,16.735373,8.031313
"HPV","Central and Southern Asia","campaign",9.991231,7.942945,11.700758,10.151543
"HPV","Central and Southern Asia","routine",8.772293,6.847926,10.335096,8.809353
"HPV","Eastern and South-Eastern Asia","campaign",5.899804,4.804578,7.629688,5.718669
"HPV","Eastern and South-Eastern Asia","routine",10.772396,6.409049,15.908517,10.660112
"HPV","Eastern and Southern Europe","campaign",6.563684,3.671071,9.781925,6.39387
"HPV","Eastern and Southern Europe","routine",6.943261,4.148923,9.924321,6.637963
"HPV","Latin America and the Caribbean","campaign",10.668407,8.116182,13.284146,10.668451
"HPV","Latin America and the Caribbean","routine",13.826765,10.327749,17.336823,13.779936
"HPV","Oceania","campaign",12.631525,2.735763,44.82481,5.745788
"HPV","Oceania","routine",12.077992,4.120411,31.165058,10.047936
"HepB","Middle Africa","routine",5.785003,2.472307,9.168839,5.698079
"HepB","Northern Africa and Western Asia","routine",3.868154,2.344074,5.487874,3.844649
"HepB","Eastern Africa","routine",6.493604,4.556405,8.985453,6.417312
"HepB","Western Africa","routine",6.470135,4.871967,8.810594,6.355826
"HepB","Southern Africa","routine",5.953782,2.097548,10.896433,5.799574
"HepB","Central and Southern Asia","routine",3.504243,2.191179,4.960215,3.420442
"HepB","Eastern and South-Eastern Asia","routine",6.250912,3.070442,11.165077,5.2991
"HepB","Eastern and Southern Europe","routine",2.393937,1.390798,3.758697,2.296155
"HepB","Latin America and the Caribbean","routine",1.088761,0.758188,1.463973,1.082788
"HepB","Oceania","routine",5.727533,3.449179,9.065876,5.186848
"Hib","Middle Africa","routine",5.828772,3.268648,9.577391,5.543848
"Hib","Northern Africa and Western Asia","routine",1.525635,0.852473,2.45089,1.471485
"Hib","Eastern Africa","routine",2.982285,1.889534,4.507627,2.869474
"Hib","Western Africa","routine",3.923035,2.293948,6.762437,3.756246
"Hib","Southern Africa","routine",1.258555,0.615167,1.881443,1.294424
"Hib","Central and Southern Asia","routine",1.788195,0.886284,3.728454,1.533908
"Hib","Eastern and South-Eastern Asia","routine",0.94067,0.395974,1.884063,0.877836
"Hib","Eastern and Southern Europe","routine",0.204422,0.109055,0.394622,0.174762
"Hib","Latin America and the Caribbean","routine",0.897356,0.555694,1.272324,0.89478
"Hib","Oceania","routine",2.090865,0.64257,4.618971,1.917407
"JE","Central and Southern Asia","campaign",0.049878,0.000789,0.169752,0.036088
"JE","Central and Southern Asia","routine",0.343127,0.125396,0.634018,0.329354
"JE","Eastern and South-Eastern Asia","campaign",0.086509,0.000127,0.401947,0.049144
"JE","Eastern and South-Eastern Asia","routine",0.16682,0.068495,0.363398,0.15235
"JE","Oceania","campaign",0.02682,4.1e-05,0.175938,0.00021
"JE","Oceania","routine",0.306751,0.025551,0.918213,0.268286
"Malaria","Middle Africa","routine",3.208784,1.786209,5.093178,3.113252
"Malaria","Northern Africa and Western Asia","routine",1.749444,-0.186606,5.301184,1.668378
"Malaria","Eastern Africa","routine",2.234111,1.237808,3.199052,2.237577
"Malaria","Western Africa","routine",2.977921,2.165425,3.860168,2.966485
"Measles","Middle Africa","campaign",3.437697,2.597442,4.33091,3.434909
"Measles","Middle Africa","routine",25.439683,17.756453,34.121648,25.38704
"Measles","Northern Africa and Western Asia","campaign",0.465209,0.268716,0.743888,0.449513
"Measles","Northern Africa and Western Asia","routine",8.514718,5.252129,11.798018,8.569526
"Measles","Eastern Africa","campaign",1.964842,1.362586,2.668497,1.85573
"Measles","Eastern Africa","routine",14.539366,9.900573,19.368215,14.376239
"Measles","Western Africa","campaign",2.483113,1.698026,3.323896,2.4418
"Measles","Western Africa","routine",25.445306,17.332488,34.013374,25.445169
"Measles","Southern Africa","campaign",0.284256,0.060054,0.569638,0.265725
"Measles","Southern Africa","routine",6.28024,2.426466,11.907221,4.101915
"Measles","Central and Southern Asia","campaign",0.734758,0.495444,1.027528,0.726367
"Measles","Central and Southern Asia","routine",10.836276,7.364893,15.330649,10.594486
"Measles","Eastern and South-Eastern Asia","campaign",0.250811,0.126851,0.409624,0.245223
"Measles","Eastern and South-Eastern Asia","routine",5.474033,2.689859,8.76114,5.376242
"Measles","Eastern and Southern Europe","campaign",0.071737,-0.223,0.389316,0.055271
"Measles","Eastern and Southern Europe","routine",2.985238,1.672555,4.553031,2.922191
"Measles","Latin America and the Caribbean","campaign",0.446162,0.207582,0.735549,0.439733
"Measles","Latin America and the Caribbean","routine",10.604154,6.480659,15.320913,10.555976
"Measles","Oceania","campaign",1.922486,1.180755,3.149227,1.560654
"Measles","Oceania","routine",13.145718,6.220812,23.278203,8.442454
"MenA","Middle Africa","campaign",0.483185,0.366588,0.629136,0.480014
"MenA","Middle Africa","routine",0.619755,0.338709,0.94025,0.607208
"MenA","Northern Africa and Western Asia","campaign",0.719403,0.51221,0.928599,0.725128
"MenA","Northern Africa and Western Asia","routine",0.321121,0.124513,0.491221,0.335056
"MenA","Eastern Africa","campaign",0.434783,0.322028,0.54653,0.437884
"MenA","Eastern Africa","routine",1.515684,0.800707,2.258162,1.539684
"MenA","Western Africa","campaign",0.677484,0.56003,0.77564,0.6833
"MenA","Western Africa","routine",0.302548,0.189654,0.400953,0.30479
"MenACWYX","Middle Africa","campaign",0.871975,0.514944,1.281977,0.865661
"MenACWYX","Middle Africa","routine",0.730496,0.470006,0.988366,0.736943
"MenACWYX","Northern Africa and Western Asia","campaign",0.907216,0.211875,1.601962,0.908321
"MenACWYX","Northern Africa and Western Asia","routine",0.654959,0.317312,0.985277,0.695087
"MenACWYX","Eastern Africa","campaign",0.867759,0.374369,1.283137,0.864551
"MenACWYX","Eastern Africa","routine",0.711458,0.406451,0.964015,0.732127
"MenACWYX","Western Africa","campaign",0.850344,0.519204,1.22588,0.837422
"MenACWYX","Western Africa","routine",0.582413,0.386111,0.760028,0.593313
"PCV","Middle Africa","routine",3.81141,0.771252,8.523841,3.382824
"PCV","Northern Africa and Western Asia","routine",1.292751,0.395011,2.608129,1.202538
"PCV","Eastern Africa","routine",1.78778,0.764143,3.27486,1.68413
"PCV","Western Africa","routine",2.62125,0.030492,6.372575,2.263342
"PCV","Southern Africa","routine",0.760454,-0.116737,2.095531,0.727867
"PCV","Central and Southern Asia","routine",1.194668,-0.638849,3.89671,0.984545
"PCV","Eastern and South-Eastern Asia","routine",0.695684,-0.513425,2.473786,0.527692
"PCV","Eastern and Southern Europe","routine",0.144917,-0.361803,0.588735,0.128223
"PCV","Latin America and the Caribbean","routine",0.777272,0.311698,1.348368,0.737859
